Article,Pattern Type,Algorithm,Time (s)
Article 1,Existing,Boyer-Moore,0.0014345000381581485
Article 1,Existing,Knuth-Morris-Pratt,0.01621179998619482
Article 1,Existing,Rabin-Karp,0.018988900003023446
Article 1,Non-Existing,Boyer-Moore,0.0034462999901734293
Article 1,Non-Existing,Knuth-Morris-Pratt,0.045579099969472736
Article 1,Non-Existing,Rabin-Karp,0.04942200001096353
Article 2,Existing,Boyer-Moore,0.0041584999999031425
Article 2,Existing,Knuth-Morris-Pratt,0.05771340004866943
Article 2,Existing,Rabin-Karp,0.06629479996627197
Article 2,Non-Existing,Boyer-Moore,0.0037846999475732446
Article 2,Non-Existing,Knuth-Morris-Pratt,0.05931899999268353
Article 2,Non-Existing,Rabin-Karp,0.07660650002071634
